ibgeID,centroid_long,centroid_lat
1500602,-53.88670799069649,-6.486155138166106
1300409,-63.43480283001173,-0.4651746542732025
1303809,-67.99689986313251,0.374912076366282
1505304,-57.149892475892806,0.25507168438421735
1304104,-64.95574633457346,-6.093703853121891
1507300,-52.25274183182928,-7.233157483026391
1300201,-71.74274986445027,-5.711756439348084
1500503,-53.89357642114101,0.28447898772676483
1302306,-68.40631780791023,-4.715326716332481
1302405,-65.81164607643139,-8.375605953570158
5003207,-56.72382719433344,-18.731189565647952
1303601,-65.52134999323458,-0.31837657875140835
1503606,-56.49672749890764,-5.871099627197836
1301209,-64.12529536259225,-4.436337765403133
1302108,-68.3212087322346,-1.6970795811726862
1300144,-59.43203525594372,-7.759959002507529
1503754,-57.30271955352447,-7.445308438902712
1302702,-61.4466317782426,-6.459517179135287
1400209,-61.47206345362342,0.9908973883553445
1300805,-59.53464052810279,-4.957626894613201
1303502,-68.19717723655042,-7.757799513801538
1303304,-60.477062839416746,-6.823576657637891
1302900,-58.0609306389447,-4.984765433024305
1505031,-55.61204362233192,-8.062242946891258
1303205,-61.70307911294458,-2.047398806366019
1100205,-64.30679843100657,-9.153595382297674
1300904,-64.06187564258695,-7.300769582542379
1400472,-61.010478658318306,0.03773713459204009
1301704,-62.4862010823196,-7.361596134846281
1600279,-53.31054007328782,1.1014204196189672
1400027,-62.43696306677749,3.7329222906523567
5103254,-60.30429489715348,-9.29202302656902
1200302,-70.74475999298326,-8.924448334852332
1505106,-55.67504377104112,-0.17013474766286896
1304302,-59.02977366437808,-0.8941789175999666
5105150,-59.32983265581498,-11.533741309413887
1301001,-67.3374692793319,-5.1185241365479905
5102504,-57.83376308434949,-16.53713403526471
1400050,-62.75552254824078,3.0782839999888565
5101407,-59.83801351731673,-10.186883543187552
1301951,-68.1128149383293,-6.682814386245854
1303536,-59.98884196931735,-1.3724191352265958
1505809,-50.95567741057542,-2.565415467889329
1100106,-64.53749963817006,-11.30569418676172
5106307,-54.10906502734495,-13.677357716229713
1200500,-69.38155310145999,-9.77117821467557
1304203,-65.53153852505056,-4.470119517326985
1500404,-55.03916981324254,-0.6044851875974222
5105101,-57.618481708364044,-11.023978570484966
1600501,-51.90461223147492,3.0892672162538277
1300706,-68.04762395299433,-8.773144509222266
5103304,-59.750751886306965,-13.196476180781026
5100805,-57.827155371190834,-8.753681556057668
1200609,-71.44493896141567,-8.239448835904529
1303908,-69.45115217043946,-4.501485107421168
1302207,-66.30781323768637,-3.5245044201762274
1505502,-47.603125263539944,-3.20342503000364
5006903,-57.36933017602725,-21.237742136032523
1301308,-62.973342861824484,-3.2889340226209702
5007109,-53.54401105237781,-20.59627645191589
5107065,-52.74319371607077,-12.158232528961724
1504802,-54.353018001331996,-1.0742917186021355
5001102,-55.863305311393404,-19.75604369852691
1506807,-55.238295205560576,-2.6792099160669913
5106505,-56.944470448850595,-16.78411520406405
1300631,-61.80433890441632,-4.606433281089689
1505908,-52.54777013473382,-2.184624871154606
5103858,-53.45507551636215,-12.99647507689736
1502764,-51.22105127505208,-8.458215306286698
1501006,-56.016328338605234,-3.6671993351360737
5107859,-51.96839617654268,-11.453628200578505
5103106,-51.14751108647682,-13.869039630360993
1302801,-65.03960865010218,-2.426772350994201
5101902,-57.998791440235294,-12.421963117532615
2911105,-45.75567042420934,-11.016710882695259
2928901,-45.490254685321666,-12.804399930072249
1505064,-50.27157482166331,-4.502975797301987
1504208,-50.0170856307998,-5.629814629024107
1301407,-70.21826717145949,-7.021993303898312
1506005,-53.66020921562838,-2.1202996596693606
1505437,-51.430900654662715,-7.520502842147332
5106422,-53.586321859747365,-10.147152349781736
1400282,-62.44899277825576,2.190487084881224
1600204,-51.40380055631989,2.4313015727512384
1303007,-57.65621529317071,-1.6805200694913662
5107875,-58.652320902042014,-13.15440740309634
5105507,-59.990061365859546,-15.189700158490647
1708205,-50.09807706738661,-11.958979138467713
1600402,-51.95118117828647,-0.06683114904565013
2101400,-46.34275201085025,-8.23759134968899
1502509,-49.82932553941492,-0.029510555875871924
5106240,-54.766090519727605,-12.991149472221169
1507805,-51.76373612406309,-4.324034617041565
5107578,-61.01013590629317,-10.462360080781734
2930204,-41.6405074407611,-10.115921229906256
5107800,-55.439919202738935,-16.46040153849535
5105580,-54.05298584556352,-10.88561845686719
1400308,-61.995624803276094,2.513317242538219
1303700,-69.08928260255233,-3.0529445177668424
1301803,-71.41294682225131,-7.180500138280209
1301605,-66.35796542290277,-2.4909682921795313
1400233,-59.33811255053697,0.9146869542074135
1508050,-56.00348530458477,-5.130201957904394
1100304,-60.248426351484284,-12.095652068224554
1500859,-51.30128101666115,-3.9971906265697132
1505486,-50.63162647840076,-3.684186367930007
5108907,-57.21981584081949,-12.783148347360477
2909307,-45.39498956561738,-13.467032827233867
4300002,-51.3571931356144,-31.06285470045675
2924405,-43.11639937339947,-10.007697138674
1503002,-57.80605392033348,-1.1590582780667034
1506708,-50.61129040880184,-9.363919534507318
5103700,-54.16679388934093,-11.917542744428976
5107958,-58.31768203284694,-14.423540891918668
5101605,-56.031812071638505,-16.82013650361101
5107180,-51.568534636015755,-12.873862076239353
2902708,-43.366149855821426,-11.03083512929745
1716208,-47.81209022244437,-12.695713339586588
1302603,-60.25959390359333,-2.625976647615084
2100501,-46.213168943366135,-9.508416743671857
3136306,-45.93426886322947,-17.60496556403851
1101492,-63.12216952862919,-12.368670899824856
5102702,-52.39703427490631,-13.330838635915924
5008305,-52.211529367938574,-20.438605449860187
1508159,-53.80735498494232,-3.583609058208856
