"nome","date","newDeaths","deaths","newCases","totalCases","recovered","totalRecovered","populacao","CENTROID_X","CENTROID_Y","deaths_by_totalCases","totalCases_per_100k_inhabitants","deaths_per_100k_inhabitants","meanCases","tendencia_casos","last14AvgCases","meanDeaths","tendencia_obitos","meanRecovered","nrDiasDobraCasos","nrDiasDobraMortes"
"3ª DE","2020-06-23",11,202,299,9399,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.021491648047664645,0,0,204,"Aproximadamente o mesmo","",6,"Aproximadamente o mesmo",NaN,0,0
"6ª DE","2020-06-23",8,275,845,11465,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.02398604448320977,0,0,424,"Aproximadamente o mesmo","",9,"Aproximadamente o mesmo",NaN,0,0
"5ª DE","2020-06-24",39,789,2698,37315,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.021144311938898566,0,0,1629,"Aproximadamente o mesmo","",27,"Aproximadamente o mesmo",NaN,0,0
"3ª DE","2020-06-24",5,207,263,9663,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.021421918658801616,0,0,205,"Aproximadamente o mesmo","",6,"Aproximadamente o mesmo",NaN,0,0
"6ª DE","2020-06-24",18,293,877,12346,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.023732382958043093,0,0,490,"Aproximadamente o mesmo","",11,"Aproximadamente o mesmo",NaN,0,0
"5ª DE","2020-06-25",26,815,1858,39172,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.020805677524762586,0,0,1698,"Aproximadamente o mesmo","",27,"Aproximadamente o mesmo",NaN,0,0
"3ª DE","2020-06-25",0,207,395,10047,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.020603165123917588,0,0,220,"Aproximadamente o mesmo","",5,"Aproximadamente o mesmo",NaN,0,0
"6ª DE","2020-06-25",0,293,666,13013,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.02251594559286867,0,0,527,"Aproximadamente o mesmo","",9,"Aproximadamente o mesmo",NaN,0,0
"5ª DE","2020-06-26",33,849,1826,40999,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.020707822142003462,0,0,1731,"Aproximadamente o mesmo","",28,"Aproximadamente o mesmo",NaN,0,0
"3ª DE","2020-06-26",12,219,319,10373,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.021112503615154727,0,0,236,"Aproximadamente o mesmo","",5,"Aproximadamente o mesmo",NaN,0,0
"6ª DE","2020-06-26",28,321,731,13741,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.02336074521504985,0,0,553,"Aproximadamente o mesmo","",11,"Aproximadamente o mesmo",NaN,0,0
"5ª DE","2020-06-27",17,866,1974,42975,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.020151250727166958,0,0,1780,"Crescendo 3","411|698|1283|1124|1375|1595|1160|1265|1302|1405|1629|1698|1731|1780",29,"Crescendo 2",NaN,0,0
"3ª DE","2020-06-27",4,223,291,10665,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.020909517112048758,0,0,257,"Crescendo 3","12|371|348|257|286|207|233|239|211|204|205|220|236|257",6,"Crescendo 2",NaN,0,0
"6ª DE","2020-06-27",10,331,594,14335,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.023090338332752005,0,0,579,"Crescendo 3","26|409|690|415|401|550|415|433|401|424|490|527|553|579",12,"Crescendo 3",NaN,0,0
"5ª DE","2020-06-28",32,898,1469,44444,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.020205202052020522,0,0,1826,"Crescendo 3","698|1283|1124|1375|1595|1160|1265|1302|1405|1629|1698|1731|1780|1826",30,"Crescendo 2",NaN,0,0
