"country","state","city","ibgeID","deaths","totalCases","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","_source","date","newCases","newDeaths","lat","lon","nrDiasDobraCasos","nrDiasDobraMortes"
"Brazil","PB","Manaíra/PB","2509008","0","2","0.00000","18.25650","0.00000","MS","2020-05-23","0","0","-7.7060905","-38.1531251",0,0
"Brazil","PR","Mandaguari/PR","4114203","0","2","0.00000","5.81395","0.00000","MS","2020-05-23","0","0","-23.5224849","-51.6787511",0,0
"Brazil","PR","Mandaguaçu/PR","4114104","0","5","0.00000","21.91156","0.00000","MS","2020-05-23","0","0","-23.3485076","-52.0966215",0,0
"Brazil","PR","Mandirituba/PR","4114302","0","4","0.00000","14.88704","0.00000","MS","2020-05-23","0","0","-25.7772457","-49.3279107",0,0
"Brazil","SP","Manduri/SP","3528601","0","3","0.00000","30.46923","0.00000","SES","2020-05-23","1","0","-23.0059018","-49.317191",0,0
"Brazil","RJ","Mangaratiba/RJ","3302601","3","42","6.74642","94.44994","0.07143","MS","2020-05-23","0","0","-22.9600193","-44.04111",0,0
"Brazil","PR","Mangueirinha/PR","4114401","0","3","0.00000","17.94902","0.00000","MS","2020-05-23","0","0","-25.9412009","-52.1740852",0,0
"Brazil","MG","Manhuaçu/MG","3139409","1","19","1.10829","21.05753","0.05263","SES","2020-05-23","0","0","-20.2574434","-42.0340769",0,0
"Brazil","MG","Manhumirim/MG","3139508","0","0","0.00000","0.00000","0.00000","SES","2020-05-23","0","0","-20.3599141","-41.9554606",0,0
"Brazil","AM","Manicoré/AM","1302702","2","42","3.58738","75.33497","0.04762","MS","2020-05-23","5","0","-5.804618","-61.289483",0,0
"Brazil","PI","Manoel Emídio/PI","2205904","1","1","18.69508","18.69508","1.00000","MS","2020-05-23","0","0","-8.0054022","-43.8730321",0,0
"Brazil","PR","Manoel Ribas/PR","4114500","1","1","7.40631","7.40631","1.00000","MS","2020-05-23","0","0","-24.5177239","-51.6685729",0,0
"Brazil","AC","Manoel Urbano/AC","1200344","0","0","0.00000","0.00000","0.00000","MS","2020-05-23","0","0","-8.838861","-69.2620618",0,0
"Brazil","BA","Manoel Vitorino/BA","2920403","1","5","7.55287","37.76435","0.20000","MS","2020-05-23","0","0","-14.1448395","-40.2439696",0,0
"Brazil","MG","Mantena/MG","3139607","0","19","0.00000","68.73101","0.00000","SES","2020-05-23","0","0","-18.7809937","-40.9808279",0,0
"Brazil","ES","Mantenópolis/ES","3203304","0","2","0.00000","13.02932","0.00000","MS","2020-05-23","0","0","-18.8626177","-41.1224012",0,0
"Brazil","RS","Maquiné/RS","4311775","0","1","0.00000","14.89425","0.00000","SES","2020-05-23","0","0","-29.6756372","-50.2056317",0,0
"Brazil","AL","Mar Vermelho/AL","2704906","0","3","0.00000","85.37279","0.00000","SES","2020-05-23","0","0","-9.447393","-36.388076",0,0
"Brazil","MG","Mar de Espanha/MG","3139805","3","21","23.41189","163.88325","0.14286","SES","2020-05-23","0","1","-21.866945","-43.01",0,0
"Brazil","GO","Mara Rosa/GO","5212808","1","7","10.52299","73.66095","0.14286","SES","2020-05-23","0","0","-14.0148159","-49.1776521",0,0
"Brazil","PA","Marabá/PA","1504208","63","319","22.55243","114.19407","0.19749","SES","2020-05-23","9","0","-5.3462821","-49.1007401",0,0
"Brazil","SC","Maracajá/SC","4210407","0","13","0.00000","178.25312","0.00000","SES","2020-05-23","1","0","-28.8628566","-49.449388",0,0
"Brazil","CE","Maracanaú/CE","2307650","89","730","39.05462","320.33561","0.12192","MS","2020-05-23","0","11","-3.8779438","-38.6247697",0,0
"Brazil","PA","Maracanã/PA","1504307","3","51","10.17881","173.03973","0.05882","SES","2020-05-23","0","0","-0.7666582","-47.4537818",0,0
"Brazil","MA","Maracaçumé/MA","2106326","1","41","4.67399","191.63356","0.02439","MS","2020-05-23","0","0","-2.049177","-45.958734",0,0
"Brazil","BA","Maracás/BA","2920502","0","3","0.00000","14.39954","0.00000","MS","2020-05-23","0","0","-13.4408898","-40.433052",0,0
"Brazil","AL","Maragogi/AL","2704500","4","49","12.23092","149.82877","0.08163","SES","2020-05-23","1","0","-9.0118278","-35.222512",0,0
"Brazil","BA","Maragogipe/BA","2920601","1","8","2.23829","17.90631","0.12500","MS","2020-05-23","0","0","-12.7766206","-38.9174729",0,0
"Brazil","PE","Maraial/PE","2609204","3","3","26.44337","26.44337","1.00000","SES","2020-05-23","0","0","-8.7823791","-35.8113151",0,0
"Brazil","CE","Maranguape/CE","2307700","35","272","27.13641","210.88868","0.12868","MS","2020-05-23","0","2","-3.8922967","-38.6835427",0,0
"Brazil","MA","Maranhãozinho/MA","2106375","0","8","0.00000","49.18537","0.00000","MS","2020-05-23","0","0","-2.2429316","-45.8588977",0,0
"Brazil","PA","Marapanim/PA","1504406","8","72","28.23264","254.09373","0.11111","SES","2020-05-23","1","1","-0.7134493","-47.6985381",0,0
"Brazil","SP","Marapoama/SP","3528858","0","0","0.00000","0.00000","0.00000","SES","2020-05-23","0","0","-21.2574769","-49.1314719",0,0
"Brazil","ES","Marataízes/ES","3203320","8","152","20.77976","394.81545","0.05263","MS","2020-05-23","0","0","-21.0443673","-40.8272204",0,0
"Brazil","RS","Maratá/RS","4311791","0","4","0.00000","148.64363","0.00000","SES","2020-05-23","0","0","-29.549349","-51.5546411",0,0
"Brazil","RS","Marau/RS","4311809","4","158","9.05777","357.78175","0.02532","SES","2020-05-23","3","0","-28.4493053","-52.2002156",0,0
"Brazil","AL","Maravilha/AL","2704609","0","4","0.00000","43.65383","0.00000","SES","2020-05-23","-1","0","-9.230449","-37.352419",0,0
"Brazil","SC","Maravilha/SC","4210506","0","10","0.00000","38.81686","0.00000","SES","2020-05-23","0","0","-26.7623898","-53.1747387",0,0
"Brazil","AM","Maraã/AM","1302801","1","79","5.48727","433.49429","0.01266","MS","2020-05-23","10","0","-1.8535579","-65.5897749",0,0
"Brazil","BA","Maraú/BA","2920700","2","6","9.72290","29.16869","0.33333","MS","2020-05-23","0","0","-14.103022","-39.0144322",0,0
"Brazil","RS","Marcelino Ramos/RS","4311908","0","4","0.00000","90.86779","0.00000","SES","2020-05-23","0","0","-27.4622708","-51.9081009",0,0
