ibgeID,centroid_long,centroid_lat,lon,lat,populacao
1500602,-53.88670799069649,-6.486155138166106,-52.209961,-3.204065,114594
1300409,-63.43480283001173,-0.4651746542732025,-62.925635,-0.9729214,27502
1303809,-67.99689986313251,0.374912076366282,-67.0813855,-0.1249715,45564
1505304,-57.149892475892806,0.25507168438421735,-55.868285,-1.7669992,73096
1304104,-64.95574633457346,-6.093703853121891,-63.1879157,-5.6232283,17156
1507300,-52.25274183182928,-7.233157483026391,-51.9787582,-6.6386974,128481
1300201,-71.74274986445027,-5.711756439348084,-70.1908742,-4.3658547,19921
1500503,-53.89357642114101,0.28447898772676483,-52.5788111,-1.5290377,34109
1302306,-68.40631780791023,-4.715326716332481,-66.7721255,-2.7471478,14317
1302405,-65.81164607643139,-8.375605953570158,-64.7924505,-7.2613683,46069
5003207,-56.72382719433344,-18.731189565647952,-57.6534316,-19.0016365,111435
1303601,-65.52134999323458,-0.31837657875140835,-65.0153096,-0.4160389,25156
1503606,-56.49672749890764,-5.871099627197836,-55.9878139,-4.2625218,101247
1301209,-64.12529536259225,-4.436337765403133,-63.1431166,-4.0885957,85097
1302108,-68.3212087322346,-1.6970795811726862,-66.9967657,-1.8808468,2755
1300144,-59.43203525594372,-7.759959002507529,-59.8830192,-7.1940195,21973
1503754,-57.30271955352447,-7.445308438902712,-57.758625,-6.2196518,8239
1302702,-61.4466317782426,-6.459517179135287,-61.289483,-5.804618,55751
1400209,-61.47206345362342,0.9908973883553445,-61.125389,1.827598,21926
1300805,-59.53464052810279,-4.957626894613201,-59.5947721,-4.3934778,41161
1303502,-68.19717723655042,-7.757799513801538,-66.9998441,-7.7122214,19426
1303304,-60.477062839416746,-6.823576657637891,-60.373179,-5.125929,25644
1302900,-58.0609306389447,-4.984765433024305,-57.7196072,-3.3795798,63905
1505031,-55.61204362233192,-8.062242946891258,-55.4185904,-7.0374884,25762
1303205,-61.70307911294458,-2.047398806366019,-60.9434406,-2.6260236,19454
1100205,-64.30679843100657,-9.153595382297674,-63.8735438,-8.7494525,529544
1300904,-64.06187564258695,-7.300769582542379,-64.3834966,-6.5330019,15629
1400472,-61.010478658318306,0.03773713459204009,-60.4236464,0.9387308,30163
1301704,-62.4862010823196,-7.361596134846281,-63.0248674,-7.5099404,55080
1600279,-53.31054007328782,1.1014204196189672,-52.516,-0.8419994,50410
1400027,-62.43696306677749,3.7329222906523567,-61.4194315,3.6523869,12796
5103254,-60.30429489715348,-9.29202302656902,-59.2197132,-9.4560637,38582
1200302,-70.74475999298326,-8.924448334852332,-70.3539579,-8.1648652,34780
1505106,-55.67504377104112,-0.17013474766286896,-55.520812,-1.901072,52137
1304302,-59.02977366437808,-0.8941789175999666,-57.7590254,-2.537073,16256
5105150,-59.32983265581498,-11.533741309413887,-58.7570212,-11.4230908,40997
1301001,-67.3374692793319,-5.1185241365479905,-66.8961433,-4.8766426,28294
5102504,-57.83376308434949,-16.53713403526471,-57.6852775,-16.0658939,94376
1400050,-62.75552254824078,3.0782839999888565,-61.307167,2.98858,15510
5101407,-59.83801351731673,-10.186883543187552,-59.4439663,-10.175806,22354
1301951,-68.1128149383293,-6.682814386245854,-68.2437385,-6.4385189,7851
1303536,-59.98884196931735,-1.3724191352265958,-60.0236658,-2.0486359,36279
1505809,-50.95567741057542,-2.565415467889329,-50.8240402,-1.9387118,62043
1100106,-64.53749963817006,-11.30569418676172,-65.3327825,-10.7804239,46174
5106307,-54.10906502734495,-13.677357716229713,-54.052426,-14.426475,22563
1200500,-69.38155310145999,-9.77117821467557,-68.6571058,-9.0659556,45848
1304203,-65.53153852505056,-4.470119517326985,-64.7102278,-3.3485276,59849
1500404,-55.03916981324254,-0.6044851875974222,-54.738355,-1.946229,56789
5105101,-57.618481708364044,-11.023978570484966,-57.5080072,-11.2535587,34974
1600501,-51.90461223147492,3.0892672162538277,-51.8350798,3.8432128,27270
1300706,-68.04762395299433,-8.773144509222266,-67.3930873,-8.7553487,34308
5103304,-59.750751886306965,-13.196476180781026,-59.786883,-13.6581107,20763
5100805,-57.827155371190834,-8.753681556057668,-57.394852,-9.5678422,10133
1200609,-71.44493896141567,-8.239448835904529,-70.7665368,-8.1602019,42567
1303908,-69.45115217043946,-4.501485107421168,-68.9468462,-3.4650627,39299
1302207,-66.30781323768637,-3.5245044201762274,-66.0622335,-3.4746666,14712
1505502,-47.603125263539944,-3.20342503000364,-47.3548942,-2.99564,113145
5006903,-57.36933017602725,-21.237742136032523,-57.883586,-21.698078,17131
1301308,-62.973342861824484,-3.2889340226209702,-62.0603444,-3.8413202,28637
5007109,-53.54401105237781,-20.59627645191589,-53.7609001,-20.4477984,24615
5107065,-52.74319371607077,-12.158232528961724,-52.2081922,-12.5942311,17479
1504802,-54.353018001331996,-1.0742917186021355,-54.0727694,-1.9989108,58032
5001102,-55.863305311393404,-19.75604369852691,-55.7821375,-20.473969,47871
1506807,-55.238295205560576,-2.6792099160669913,-54.699611,-2.438489,304589
5106505,-56.944470448850595,-16.78411520406405,-56.6229717,-16.2634094,32843
1300631,-61.80433890441632,-4.606433281089689,-61.3717319,-3.9007135,19679
1505908,-52.54777013473382,-2.184624871154606,-52.235556,-1.7502089,41135
5103858,-53.45507551636215,-12.99647507689736,-53.2543946,-13.18136,7648
1502764,-51.22105127505208,-8.458215306286698,-50.7677675,-7.8122669,13473
1501006,-56.016328338605234,-3.6671993351360737,-55.3310742,-3.6049239,16388
5107859,-51.96839617654268,-11.453628200578505,-50.6667246,-11.6170646,11708
5103106,-51.14751108647682,-13.869039630360993,-51.00015,-14.390339,5700
1302801,-65.03960865010218,-2.426772350994201,-65.5897749,-1.8535579,18224
5101902,-57.998791440235294,-12.421963117532615,-58.0050109,-12.1227151,19695
2911105,-45.75567042420934,-11.016710882695259,-45.1903983,-11.0414544,25591
2928901,-45.490254685321666,-12.804399930072249,-44.976881,-12.357196,33742
1505064,-50.27157482166331,-4.502975797301987,-49.9524257,-4.2519172,75919
1504208,-50.0170856307998,-5.629814629024107,-49.1007401,-5.3462821,279349
1301407,-70.21826717145949,-7.021993303898312,-69.866161,-6.6567654,35273
1506005,-53.66020921562838,-2.1202996596693606,-53.4797942,-1.8072874,29866
1505437,-51.430900654662715,-7.520502842147332,-51.0788476,-6.748975,32832
5106422,-53.586321859747365,-10.147152349781736,-54.9919857,-10.2429203,34976
1400282,-62.44899277825576,2.190487084881224,-61.0513048,2.1664742,11950
1600204,-51.40380055631989,2.4313015727512384,-50.9539503,2.4981757,11117
1303007,-57.65621529317071,-1.6805200694913662,-56.7111308,-2.1921521,21173
5107875,-58.652320902042014,-13.15440740309634,-58.8146235,-13.547958,25881
5105507,-59.990061365859546,-15.189700158490647,-59.961115,-15.009904,16128
1708205,-50.09807706738661,-11.958979138467713,-49.5257153,-11.8059989,18440
1600402,-51.95118117828647,-0.06683114904565013,-51.2861759,-0.1160565,21632
2101400,-46.34275201085025,-8.23759134968899,-46.037163,-7.53214,94887
1502509,-49.82932553941492,-0.029510555875871924,-49.987006,-0.164154,23717
5106240,-54.766090519727605,-12.991149472221169,-55.2539048,-13.03484,11982
1507805,-51.76373612406309,-4.324034617041565,-51.948209,-2.5935424,11658
5107578,-61.01013590629317,-10.462360080781734,-61.4596962,-10.8428772,4001
2930204,-41.6405074407611,-10.115921229906256,-41.8830056,-9.7406436,40684
5107800,-55.439919202738935,-16.46040153849535,-56.0765226,-15.8644521,16628
5105580,-54.05298584556352,-10.88561845686719,-54.5202451,-11.0794264,10499
1400308,-61.995624803276094,2.513317242538219,-60.9199986,2.4486084,17853
1303700,-69.08928260255233,-3.0529445177668424,-67.946279,-3.095443,21602
1301803,-71.41294682225131,-7.180500138280209,-71.693426,-7.047909,29689
1301605,-66.35796542290277,-2.4909682921795313,-66.91321428571428,-2.55,17609
1400233,-59.33811255053697,0.9146869542074135,-59.6932274,0.8812315,10169
1508050,-56.00348530458477,-5.130201957904394,-55.9972165,-4.700551,18989
1100304,-60.248426351484284,-12.095652068224554,-60.1465555,-12.7368536,99854
1500859,-51.30128101666115,-3.9971906265697132,-51.2057035,-3.4668292,27890
1505486,-50.63162647840076,-3.684186367930007,-50.6399248,-3.8354195,47706
